Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2016,13367516,SUBURBAN,PASSENGER OR SUBURBAN,Backing,Not Entered,West,Gas,2012,NY,1,6,CHEVR,HUMAN,Backing Unsafely,HUMAN,Not Applicable,Not Applicable,3GNFL4E53CS655593
2016,13367517,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Parked,Not Entered,South,Gas,2013,NY,0,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1N4AL3AP2DN433617
2016,13367525,PICKUP TRUCK,COMMERCIAL,Changing Lanes,Not Entered,South,Gas,2003,NY,3,8,FORD,HUMAN,Unsafe Lane Changing,HUMAN,Not Applicable,Not Applicable,1FTNX21L63EB26991
2016,13367526,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2007,NY,4,4,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JHLRE48507C033690
2016,13367528,SUBURBAN,PASSENGER OR SUBURBAN,Merging,Not Entered,South,Gas,2006,NY,3,6,JEEP,HUMAN,Passing or Lane Usage Improper,HUMAN,Reaction to Other Uninvolved Vehicle,Not Applicable,1J4GR48K46C177007
2016,13367535,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2008,NY,1,6,CHEVR,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,2CNDL43F386340807
2016,13367545,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2003,NY,2,6,PONTI,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1G2WP52K83F115582
2016,13367556,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2007,NY,3,6,FORD,HUMAN,Following Too Closely,HUMAN,Unsafe Speed,Not Applicable,1FAFP56U87A197149
2016,13367557,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,South,Gas,2015,NY,1,4,TOYOT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,2T1BURHEXFC280137
2016,13367560,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2003,NY,1,6,PONTI,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1GMDU23E83D271776
2016,13367561,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2012,NY,1,8,DODGE,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1C6RD7FT6CS106393
2016,13367562,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2008,NY,1,4,SUBAR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,4S4BP61C186343436
2016,13367563,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2013,NY,1,4,CHEVR,ENVMT,Lane Marking Improper/Inadequate,HUMAN,Not Applicable,Not Applicable,1G11C5SA4DF122290
2016,13367564,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2011,NY,1,4,FORD,ENVMT,Lane Marking Improper/Inadequate,HUMAN,Not Applicable,Not Applicable,1FAHP3FN8BW199680
2016,13367566,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2005,NY,1,6,FORD,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,1FAFP53275A142398
2016,13367569,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2013,NY,1,6,GMC,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,2GKFLZE34D6137937
2016,13367573,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2011,NY,1,6,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,"Tree, Collision With Fixed Object",1GCNCPEX8BZ462302
2016,13367574,PICKUP TRUCK,COMMERCIAL,Going Straight Ahead,Not Entered,West,Diesel,2002,NY,1,8,FORD,HUMAN,Following Too Closely,ENVMT,Pavement Slippery,Not Applicable,1FTSW31F52EC06433
2016,13367575,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2012,NY,2,4,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,3FAHP0JA2CR325748
2016,13367576,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2015,NY,1,8,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GCVKREC8FZ353145
2016,13367577,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2006,NY,1,6,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,2G1WB58KX69381970
2016,13367581,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,Southeast,Gas,2001,NY,1,8,DODGE,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,"Sign Post, Collision With Fixed Object",1B7HC16Y11S336615
2016,13367582,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,West,Gas,2007,NY,1,6,FORD,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1FAHP271X7G103717
2016,13367590,SUBURBAN,ORGANIZATIONAL,Going Straight Ahead,Not Entered,Northeast,Gas,2007,NY,1,6,CHEVR,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,1GNDT13S672268374
2016,13367595,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,Southwest,Gas,2002,NY,1,4,ACURA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JH4DC53092C023469
2016,13367597,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2013,NY,1,6,LINCO,ENVMT,Animal's Action,HUMAN,Unsafe Lane Changing,"Fence, Collision With Fixed Object",2LMDJ8JK0DBL46728
2016,13367622,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2003,NY,1,4,TOYOT,ENVMT,Pavement Slippery,VEHICLE,Tire Failure/Inadequate,"Light Support/Utility Pole, Collision With Fixed Object",JTEHH20V436095727
2016,13367629,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2009,NY,1,6,HONDA,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,5FNRL38239B047544
2016,13367631,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,East,Gas,2005,NY,1,4,TOYOT,HUMAN,Unsafe Speed,HUMAN,Passing or Lane Usage Improper,Not Applicable,2T1KR32E15C440332
2016,13367636,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,East,Gas,2002,NY,2,4,HONDA,HUMAN,Passing or Lane Usage Improper,HUMAN,Not Applicable,Not Applicable,1HGEM21982L060677
2016,13367637,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2006,NY,2,6,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1N4BA41E96C801806
2016,13367642,SUBURBAN,PASSENGER OR SUBURBAN,Merging,Not Entered,West,Gas,2012,NY,1,6,NISSA,HUMAN,Passing or Lane Usage Improper,HUMAN,Unsafe Lane Changing,Not Applicable,5N1AR1NB2CC605212
2016,13367643,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2015,NY,2,6,ACURA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,5J8TB4H39FL029888
2016,13367646,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2015,NY,1,4,SUBAR,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,JF2GPAMC8F8256077
2016,13367649,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2011,NY,2,4,CHEVR,HUMAN,Driver Inexperience*,ENVMT,Pavement Slippery,Not Applicable,1G1ZC5E18BF252665
2016,13367651,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2006,NY,1,4,SUZUK,HUMAN,Passing or Lane Usage Improper,HUMAN,Not Applicable,Not Applicable,KL5JD56Z86K314865
2016,13367662,PICKUP TRUCK,COMMERCIAL,Going Straight Ahead,Not Entered,West,Diesel,2002,NY,1,8,FORD,HUMAN,Unsafe Speed,VEHICLE,Tire Failure/Inadequate,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1FTSW31F52EC06433
2016,13367668,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2005,NY,1,6,BUICK,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,2G4WS52J051128642
